country,year,month,value
Guam,2015,Feb,126.1
Guam,2015,Mar,132.3
Guam,2015,Apr,96.2
Guam,2015,May,96.9
Guam,2015,Jun,101.0
Guam,2015,Jul,115.1
Guam,2015,Aug,135.5
Guam,2015,Sep,120.9
Guam,2015,Oct,112.3
Guam,2015,Nov,113.7
Guam,2015,Dec,140.4
Guam,2016,Jan,129.3
Guam,2016,Feb,142.3
Guam,2016,Mar,133.3
Guam,2016,Apr,105.4
Guam,2016,May,114.4
Guam,2016,Jun,118.4
Guam,2016,Jul,123.0
Guam,2016,Aug,144.8
Guam,2016,Sep,133.8
Guam,2016,Oct,122.5
Guam,2016,Nov,125.7
Guam,2016,Dec,142.6
Guam,2017,Jan,136.0
Guam,2017,Feb,133.4
Guam,2017,Mar,140.7
Guam,2017,Apr,122.6
Guam,2017,May,118.9
Guam,2017,Jun,122.7
Guam,2017,Jul,133.0
Guam,2017,Aug,144.0
Guam,2017,Sep,117.2
Guam,2017,Oct,113.5
Guam,2017,Nov,122.4
Guam,2017,Dec,139.6
Guam,2018,Jan,134.9
Guam,2018,Feb,127.2
Guam,2018,Mar,137.7
Guam,2018,Apr,117.7
Guam,2018,May,114.0
Guam,2018,Jun,126.4
Guam,2018,Jul,131.6
Guam,2018,Aug,145.8
Guam,2018,Sep,113.1
Guam,2018,Oct,121.7
Guam,2018,Nov,132.9
Guam,2018,Dec,146.1
Guam,2019,Jan,147.5
Guam,2019,Feb,137.2
Guam,2019,Mar,144.1
Guam,2019,Apr,121.6
Guam,2019,May,119.3
Guam,2019,Jun,124.9
Guam,2019,Jul,138.3
Guam,2019,Aug,159.9
Guam,2019,Sep,135.2
Guam,2019,Oct,134.8
Guam,2019,Nov,144.0
Guam,2019,Dec,155.7
Guam,2020,Jan,157.5
Guam,2020,Feb,116.7
Guam,2020,Mar,35.3
Guam,2020,Apr,1.6
Guam,2020,May,1.5
Guam,2020,Jun,2.2
Guam,2020,Jul,1.4
Guam,2020,Aug,2.0
Guam,2020,Sep,2.9
Guam,2020,Oct,2.3
Guam,2020,Nov,2.6
Guam,2020,Dec,2.1
Guam,2021,Jan,4.5
Guam,2021,Feb,3.5
Guam,2021,Mar,3.7
Guam,2021,Apr,3.8
Guam,2021,May,4.4
Guam,2021,Jun,7.4
Guam,2021,Jul,12.9
Guam,2021,Aug,8.7
Guam,2021,Sep,5.7
Guam,2021,Oct,6.4
Guam,2021,Nov,9.6
Guam,2021,Dec,8.8
Guam,2022,Jan,9.1
Guam,2022,Feb,7.1
Guam,2022,Mar,9.4
Guam,2022,Apr,11.3
Guam,2022,May,20.0
Guam,2022,Jun,28.3
Guam,2022,Jul,41.1
Guam,2022,Aug,37.8
Guam,2022,Sep,28.0
Guam,2022,Oct,40.9
Guam,2022,Nov,39.9
Guam,2022,Dec,55.1
Guam,2023,Jan,56.7
Guam,2023,Feb,56.3
Guam,2023,Mar,65.6
Guam,2023,Apr,55.4
Guam,2023,May,44.3
Guam,2023,Jun,17.3
Guam,2023,Jul,52.2
Guam,2023,Aug,67.8
Guam,2023,Sep,52.3
Guam,2023,Oct,54.1
Guam,2023,Nov,60.9
Guam,2023,Dec,73.2
Guam,2024,Jan,82.7
Guam,2024,Feb,74.2
Guam,2024,Mar,68.6
Guam,2024,Apr,56.8
Guam,2024,May,51.4
