country,year,month,value
Albania,2017,Jan,164.1
Albania,2017,Feb,179.1
Albania,2017,Mar,233.3
Albania,2017,Apr,340.3
Albania,2017,May,344.0
Albania,2017,Jun,421.7
Albania,2017,Jul,833.1
Albania,2017,Aug,1123.0
Albania,2017,Sep,443.8
Albania,2017,Oct,368.7
Albania,2017,Nov,245.5
Albania,2017,Dec,239.3
Albania,2018,Jan,222.3
Albania,2018,Feb,182.1
Albania,2018,Mar,242.2
Albania,2018,Apr,335.0
Albania,2018,May,377.7
Albania,2018,Jun,481.6
Albania,2018,Jul,993.8
Albania,2018,Aug,1425.0
Albania,2018,Sep,648.2
Albania,2018,Oct,323.9
Albania,2018,Nov,236.6
Albania,2018,Dec,260.0
Albania,2019,Jan,199.7
Albania,2019,Feb,193.6
Albania,2019,Mar,270.4
Albania,2019,Apr,390.2
Albania,2019,May,385.9
Albania,2019,Jun,610.5
Albania,2019,Jul,1138.0
Albania,2019,Aug,1532.0
Albania,2019,Sep,575.7
Albania,2019,Oct,371.6
Albania,2019,Nov,258.5
Albania,2019,Dec,271.7
Albania,2020,Jan,238.8
Albania,2020,Feb,219.9
Albania,2020,Mar,90.4
Albania,2020,Apr,11.6
Albania,2020,May,15.6
Albania,2020,Jun,175.9
Albania,2020,Jul,378.8
Albania,2020,Aug,566.9
Albania,2020,Sep,368.6
Albania,2020,Oct,198.4
Albania,2020,Nov,144.1
Albania,2020,Dec,165.7
Albania,2021,Jan,175.5
Albania,2021,Feb,152.1
Albania,2021,Mar,163.3
Albania,2021,Apr,227.8
Albania,2021,May,319.7
Albania,2021,Jun,586.1
Albania,2021,Jul,1127.0
Albania,2021,Aug,1513.0
Albania,2021,Sep,479.3
Albania,2021,Oct,284.1
Albania,2021,Nov,233.5
Albania,2021,Dec,253.1
Albania,2022,Jan,186.3
Albania,2022,Feb,193.5
Albania,2022,Mar,265.3
Albania,2022,Apr,379.7
Albania,2022,May,578.7
Albania,2022,Jun,858.3
Albania,2022,Jul,1372.0
Albania,2022,Aug,1565.0
Albania,2022,Sep,733.0
Albania,2022,Oct,341.9
Albania,2022,Nov,343.6
Albania,2022,Dec,359.9
Albania,2023,Jan,360.5
Albania,2023,Feb,294.8
Albania,2023,Mar,366.4
Albania,2023,Apr,582.9
Albania,2023,May,653.7
Albania,2023,Jun,971.9
Albania,2023,Jul,1686.0
Albania,2023,Aug,1918.0
Albania,2023,Sep,1057.0
Albania,2023,Oct,658.9
Albania,2023,Nov,529.2
Albania,2023,Dec,590.5
Albania,2024,Jan,469.5
Albania,2024,Feb,462.3
Albania,2024,Mar,537.9
Albania,2024,Apr,764.1
Albania,2024,May,948.0
Albania,2024,Jun,1216.0
Albania,2024,Jul,1754.0
Albania,2024,Aug,2122.0
Albania,2024,Sep,1073.0
Albania,2024,Oct,730.1
Albania,2024,Nov,586.3
Albania,2024,Dec,629.2
Albania,2025,Jan,539.0
Albania,2025,Feb,499.4
Albania,2025,Mar,527.7
Albania,2025,Apr,776.3
Albania,2025,May,940.7
Albania,2025,Jun,1264.0
Albania,2025,Jul,1700.0
Albania,2025,Aug,2260.0
Albania,2025,Sep,1199.0
Algeria,2020,Jan,244.5
Algeria,2020,Feb,205.1
Algeria,2020,Mar,132.2
Algeria,2020,Apr,0.2
Algeria,2020,May,0.3
Algeria,2020,Jun,0.4
Algeria,2020,Jul,1.5
Algeria,2020,Aug,0.6
Algeria,2020,Sep,0.9
Algeria,2020,Oct,1.1
Algeria,2020,Nov,3.3
Algeria,2020,Dec,1.2
Algeria,2021,Jan,8.3
Algeria,2021,Feb,5.1
Algeria,2021,Mar,1.7
Algeria,2021,Apr,5.5
Algeria,2021,May,3.9
Algeria,2021,Jun,4.4
Algeria,2021,Jul,5.0
Algeria,2021,Aug,6.7
Algeria,2021,Sep,13.0
Algeria,2021,Oct,18.3
Algeria,2021,Nov,26.2
Algeria,2021,Dec,27.0
Algeria,2022,Jan,29.7
Algeria,2022,Feb,43.9
Algeria,2022,Mar,46.8
Algeria,2022,Apr,35.9
Algeria,2022,May,51.6
Algeria,2022,Jun,67.8
Algeria,2022,Jul,166.5
Algeria,2022,Aug,168.9
Algeria,2022,Sep,186.0
Algeria,2022,Oct,213.6
Algeria,2022,Nov,249.2
Algeria,2022,Dec,138.3
Algeria,2023,Jan,330.0
Algeria,2023,Feb,265.0
Algeria,2023,Mar,262.0
Algeria,2023,Apr,230.0
Algeria,2023,May,237.0
Algeria,2023,Jun,282.0
Algeria,2023,Jul,341.0
Algeria,2023,Aug,330.0
Algeria,2023,Sep,289.0
Algeria,2023,Oct,291.0
Algeria,2023,Nov,262.0
Algeria,2023,Dec,173.0
Algeria,2024,Jan,338.0
Algeria,2024,Feb,306.0
Algeria,2024,Mar,307.0
Algeria,2024,Apr,255.0
Algeria,2024,May,268.0
Algeria,2024,Jun,307.0
Algeria,2024,Jul,362.0
Algeria,2024,Aug,335.0
Algeria,2024,Sep,286.0
Algeria,2024,Oct,332.0
Algeria,2024,Nov,270.0
Algeria,2024,Dec,182.0
Algeria,2025,Jan,365.0
Algeria,2025,Feb,339.0
Algeria,2025,Mar,267.0
Algeria,2025,Apr,281.0
Algeria,2025,May,293.0
Algeria,2025,Jun,300.0
American Samoa,2015,Feb,1.4
American Samoa,2015,Mar,1.8
American Samoa,2015,Apr,2.5
American Samoa,2015,May,1.6
American Samoa,2015,Jun,2.0
American Samoa,2015,Jul,1.6
Andorra,2015,Feb,287.9
Andorra,2015,Mar,273.4
Andorra,2015,Apr,185.7
Andorra,2015,May,149.0
Andorra,2015,Jun,146.2
Andorra,2015,Jul,217.0
Andorra,2015,Aug,352.1
Andorra,2015,Sep,187.8
Andorra,2015,Oct,173.6
