"Domain Code","Domain","Element Code","Element","Unit"
"MK","Macro-Economic Indicators: Macro Indicators","61900","Share of Value Added (Total Manufacturing) Standard Local Currency","%"
"MK","Macro-Economic Indicators: Macro Indicators","6143","Share of Value Added (Total Manufacturing) US$","%"
"MK","Macro-Economic Indicators: Macro Indicators","6224","Value Standard Local Currency","million SLC"
"MK","Macro-Economic Indicators: Macro Indicators","6225","Value Standard Local Currency, 2015 prices","million SLC"
"MK","Macro-Economic Indicators: Macro Indicators","6110","Value US$","million USD"
"MK","Macro-Economic Indicators: Macro Indicators","6119","Value US$ per capita","USD"
"MK","Macro-Economic Indicators: Macro Indicators","6185","Value US$ per capita, 2015 prices","USD"
"MK","Macro-Economic Indicators: Macro Indicators","6184","Value US$, 2015 prices","million USD"
"OA","Population and Employment: Annual population","551","Rural population","1000 No"
"OA","Population and Employment: Annual population","511","Total Population - Both sexes","1000 No"
"OA","Population and Employment: Annual population","513","Total Population - Female","1000 No"
"OA","Population and Employment: Annual population","512","Total Population - Male","1000 No"
"OA","Population and Employment: Annual population","561","Urban population","1000 No"
"OEA","Population and Employment: Employment Indicators: Agriculture and agrifood systems","6121","Value","%"
"OEA","Population and Employment: Employment Indicators: Agriculture and agrifood systems","6173","Value","No"
"OEA","Population and Employment: Employment Indicators: Agriculture and agrifood systems","6199","Value","1000 No"
"OEA","Population and Employment: Employment Indicators: Agriculture and agrifood systems","6228","Value","USD"
"OER","Population and Employment: Employment Indicators: Rural","6121","Value","%"
"OER","Population and Employment: Employment Indicators: Rural","6173","Value","No"
"OER","Population and Employment: Employment Indicators: Rural","6199","Value","1000 No"
"OER","Population and Employment: Employment Indicators: Rural","6228","Value","USD"
"CP","Prices: Consumer Price Indices","6121","Value","%"
"CP","Prices: Consumer Price Indices","6125","Value",""
"PD","Prices: Deflators","62250","Value Standard Local Currency, 2015 prices","SLC"
"PD","Prices: Deflators","6179","Value US$, 2015 prices","USD"
"PE","Prices: Exchange rates","LCU","Local currency units per USD",""
"PE","Prices: Exchange rates","SLC","Standard local currency units per USD",""
"PP","Prices: Producer Prices","5530","Producer Price (LCU/tonne)","LCU"
"PP","Prices: Producer Prices","5531","Producer Price (SLC/tonne)","SLC"
"PP","Prices: Producer Prices","5532","Producer Price (USD/tonne)","USD"
"PP","Prices: Producer Prices","5539","Producer Price Index (2014-2016 = 100)",""
"QCL","Production: Crops and livestock products","5312","Area harvested","ha"
"QCL","Production: Crops and livestock products","5423","Extraction Rate","100 g/t"
"QCL","Production: Crops and livestock products","5313","Laying","1000 An"
"QCL","Production: Crops and livestock products","5318","Milk Animals","An"
"QCL","Production: Crops and livestock products","5319","Prod Popultn","An"
"QCL","Production: Crops and livestock products","5314","Prod Popultn","No"
"QCL","Production: Crops and livestock products","5320","Producing Animals/Slaughtered","An"
"QCL","Production: Crops and livestock products","5321","Producing Animals/Slaughtered","1000 An"
"QCL","Production: Crops and livestock products","5322","Production","An"
"QCL","Production: Crops and livestock products","5323","Production","1000 An"
"QCL","Production: Crops and livestock products","5510","Production","t"
"QCL","Production: Crops and livestock products","5513","Production","1000 No"
"QCL","Production: Crops and livestock products","5111","Stocks","An"
"QCL","Production: Crops and livestock products","5112","Stocks","1000 An"
"QCL","Production: Crops and livestock products","5114","Stocks","No"
"QCL","Production: Crops and livestock products","5412","Yield","kg/ha"
"QCL","Production: Crops and livestock products","5413","Yield","No/An"
"QCL","Production: Crops and livestock products","5422","Yield","100 g"
"QCL","Production: Crops and livestock products","5417","Yield/Carcass Weight","kg/An"
"QCL","Production: Crops and livestock products","5424","Yield/Carcass Weight","g/An"
"QI","Production: Production Indices","434","Gross per capita Production Index Number (2014-2016 = 100)",""
"QI","Production: Production Indices","432","Gross Production Index Number (2014-2016 = 100)",""
"QV","Production: Value of Agricultural Production","152","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$"
"QV","Production: Value of Agricultural Production","55","Gross Production Value (constant 2014-2016 thousand SLC)","1000 SLC"
"QV","Production: Value of Agricultural Production","58","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD"
"QV","Production: Value of Agricultural Production","56","Gross Production Value (current thousand SLC)","1000 SLC"
"QV","Production: Value of Agricultural Production","57","Gross Production Value (current thousand US$)","1000 USD"
"SDGB","SDG Indicators: SDG Indicators","61211","Confidence interval: Lower bound","%"
"SDGB","SDG Indicators: SDG Indicators","61991","Confidence interval: Lower bound","1000 No"
"SDGB","SDG Indicators: SDG Indicators","61992","Confidence interval: Upper bound","1000 No"
"SDGB","SDG Indicators: SDG Indicators","61212","Confidence interval: Upper bound","%"
"SDGB","SDG Indicators: SDG Indicators","6125","Value",""
"SDGB","SDG Indicators: SDG Indicators","6132","Value","million No"
"SDGB","SDG Indicators: SDG Indicators","6173","Value","No"
"SDGB","SDG Indicators: SDG Indicators","6121","Value","%"
"SDGB","SDG Indicators: SDG Indicators","6204","Value","Score"
"SDGB","SDG Indicators: SDG Indicators","6241","Value","km2"
"SDGB","SDG Indicators: SDG Indicators","6176","Value","1000 ha"
"SDGB","SDG Indicators: SDG Indicators","6177","Value","t/ha"
"SDGB","SDG Indicators: SDG Indicators","6178","Value","USD/m3"
"SDGB","SDG Indicators: SDG Indicators","6199","Value","1000 No"
"SDGB","SDG Indicators: SDG Indicators","6174","Value (2017 constant prices)","USD_PPP/cap"
"SDGB","SDG Indicators: SDG Indicators","61741","Value (2017 constant prices)","USD_PPP"
"TCL","Trade: Crops and livestock products","66008","Calcium content of exports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","50008","Calcium content of imports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","66005","Carbohydrate, available, content of exports (g/capita/day)","g"
"TCL","Trade: Crops and livestock products","50005","Carbohydrate, available, content of imports (g/capita/day)","g"
"TCL","Trade: Crops and livestock products","66006","Dietary fibre content of exports (g/capita/day)","g"
"TCL","Trade: Crops and livestock products","50006","Dietary fibre content of imports (g/capita/day)","g"
"TCL","Trade: Crops and livestock products","66002","Energy content of exports (kcal/capita/day)","kcal"
"TCL","Trade: Crops and livestock products","50002","Energy content of imports (kcal/capita/day)","kcal"
"TCL","Trade: Crops and livestock products","5907","Export quantity","No"
"TCL","Trade: Crops and livestock products","5908","Export quantity","An"
"TCL","Trade: Crops and livestock products","5909","Export quantity","1000 An"
"TCL","Trade: Crops and livestock products","5910","Export quantity","t"
"TCL","Trade: Crops and livestock products","5922","Export value","1000 USD"
"TCL","Trade: Crops and livestock products","66004","Fat content of exports (g/capita/day)","g"
"TCL","Trade: Crops and livestock products","50004","Fat content of imports (g/capita/day)","g"
"TCL","Trade: Crops and livestock products","5607","Import quantity","No"
"TCL","Trade: Crops and livestock products","5608","Import quantity","An"
"TCL","Trade: Crops and livestock products","5609","Import quantity","1000 An"
"TCL","Trade: Crops and livestock products","5610","Import quantity","t"
"TCL","Trade: Crops and livestock products","5622","Import value","1000 USD"
"TCL","Trade: Crops and livestock products","66009","Iron content of exports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","50009","Iron content of imports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","66010","Magnesium content of exports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","50010","Magnesium content of imports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","66011","Phosphorus content of exports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","50011","Phosphorus content of imports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","66012","Potassium content of exports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","50012","Potassium content of imports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","66003","Protein content of exports (g/capita/day)","g"
"TCL","Trade: Crops and livestock products","50003","Protein content of imports (g/capita/day)","g"
"TCL","Trade: Crops and livestock products","66021","Riboflavin content of exports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","50021","Riboflavin content of imports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","66020","Thiamin content of exports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","50020","Thiamin content of imports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","66017","Vitamin A (RAE) content of exports (mcg/capita/day)","μg"
"TCL","Trade: Crops and livestock products","50017","Vitamin A (RAE) content of imports (mcg/capita/day)","μg"
"TCL","Trade: Crops and livestock products","66016","Vitamin A (RE) content of exports (mcg/capita/day)","μg"
"TCL","Trade: Crops and livestock products","50016","Vitamin A (RE) content of imports (mcg/capita/day)","μg"
"TCL","Trade: Crops and livestock products","66028","Vitamin C content of exports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","50028","Vitamin C content of imports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","66014","Zinc content of exports (mg/capita/day)","mg"
"TCL","Trade: Crops and livestock products","50014","Zinc content of imports (mg/capita/day)","mg"
"TM","Trade: Detailed trade matrix","5907","Export quantity","No"
"TM","Trade: Detailed trade matrix","5908","Export quantity","An"
"TM","Trade: Detailed trade matrix","5909","Export quantity","1000 An"
"TM","Trade: Detailed trade matrix","5910","Export quantity","t"
"TM","Trade: Detailed trade matrix","5922","Export value","1000 USD"
"TM","Trade: Detailed trade matrix","5607","Import quantity","No"
"TM","Trade: Detailed trade matrix","5608","Import quantity","An"
"TM","Trade: Detailed trade matrix","5609","Import quantity","1000 An"
"TM","Trade: Detailed trade matrix","5610","Import quantity","t"
"TM","Trade: Detailed trade matrix","5622","Import value","1000 USD"
"TI","Trade: Trade Indices","495","Export Quantity Index (2014-2016 = 100)",""
"TI","Trade: Trade Indices","494","Export Unit/Value Index (2014-2016 = 100)",""
"TI","Trade: Trade Indices","95","Export Value Base Price","1000 USD"
"TI","Trade: Trade Indices","94","Export Value Base Quantity","1000 USD"
"TI","Trade: Trade Indices","492","Export Value Index (2014-2016 = 100)",""
"TI","Trade: Trade Indices","465","Import Quantity Index (2014-2016 = 100)",""
"TI","Trade: Trade Indices","464","Import Unit/Value Index (2014-2016 = 100)",""
"TI","Trade: Trade Indices","65","Import Value Base Period Price","1000 USD"
"TI","Trade: Trade Indices","64","Import Value Base Period Quantity","1000 USD"
"TI","Trade: Trade Indices","462","Import Value Index (2014-2016 = 100)",""
"WCAD","World Census of Agriculture: Structural data from agricultural censuses","50260","Area","ha"
"WCAD","World Census of Agriculture: Structural data from agricultural censuses","5017","Average area","ha"
"WCAD","World Census of Agriculture: Structural data from agricultural censuses","5018","Average number of parcels per holding","No"
"WCAD","World Census of Agriculture: Structural data from agricultural censuses","50191","Average persons per holding (hired permanent workers)","No"
"WCAD","World Census of Agriculture: Structural data from agricultural censuses","50190","Average persons per holding (household members)","No"
"WCAD","World Census of Agriculture: Structural data from agricultural censuses","50171","Median average area","ha"
"WCAD","World Census of Agriculture: Structural data from agricultural censuses","50181","Median average number of parcels per holding","ha"
"WCAD","World Census of Agriculture: Structural data from agricultural censuses","60850","Number","No"
"WCAD","World Census of Agriculture: Structural data from agricultural censuses","6201","Percent of total number","%"
"WCAD","World Census of Agriculture: Structural data from agricultural censuses","62020","Percent of total persons (holders)","%"
"WCAD","World Census of Agriculture: Structural data from agricultural censuses","62021","Percent of total persons (household members)","%"
"WCAD","World Census of Agriculture: Structural data from agricultural censuses","6200","Percentage of total area","%"
"WCAD","World Census of Agriculture: Structural data from agricultural censuses","50170","Pooled average area","ha"
"WCAD","World Census of Agriculture: Structural data from agricultural censuses","50180","Pooled average number of parcels per holding","ha"
